plugin,category, status
completion-nvim,editing,done
neoformat,editing,done
nvim-lspconfig,editing,done
nvim-treesitter,editing,done
telescope-nvim,extension,done
vim-vsnip,editing,done
which-key-nvim,other,todo
lightspeed-nvim,editing,done
nvim-autopairs,editing,done
nvim-treesitter-refactor,editing,done
supertab,editing,done
vim-surround,editing,done
auto-session,misc,todo
friendly-snippets,editing,done
lsp-rooter-nvim,misc,todo
minimap-vim,extension,done
nvim-lightbulb,editing,done
nvim-treesitter-context,editing,done
nvim-ts-rainbow,editing,done
gitsigns-nvim,editing,done
glow-nvim,extension,done
neogit,extension,done
nvim-toggleterm-lua,extension,done
vim-test,extension,done
galaxyline-nvim,ui,todo
nvim-base16,ui,todo
nvim-web-devicons,ui,todo
